day,grand total
12/27/2023,3196
12/27/2023,7984
12/27/2023,3195
12/27/2023,971
12/27/2023,15000
12/27/2023,6389
12/27/2023,1598
12/27/2023,4791
12/27/2023,971
12/27/2023,15000
12/27/2023,4795
12/27/2023,17568
12/27/2023,1599
12/27/2023,3051
12/27/2023,4033
12/27/2023,12218
12/27/2023,991
12/28/2023,20976
12/28/2023,9025
12/29/2023,6386
12/29/2023,15977
12/29/2023,1597
12/29/2023,6386
12/29/2023,15977
12/29/2023,1597
12/30/2023,1597
12/30/2023,6386
12/30/2023,15977
12/30/2023,1597
1/5/2024,12769
1/5/2024,9575
1/5/2024,11173
1/5/2024,3191
1/5/2024,4791
1/5/2024,7976
1/5/2024,1593
1/5/2024,1598
1/5/2024,6384
1/5/2024,7981
1/5/2024,1596
1/5/2024,1597
1/5/2024,11167
1/5/2024,7984
1/5/2024,4785
1/5/2024,6025
1/5/2024,18877
1/6/2024,24490
1/6/2024,9107
1/6/2024,15991
1/6/2024,3106
1/6/2024,8080
1/6/2024,4155
1/6/2024,2973
1/6/2024,7196
1/9/2024,6385
1/9/2024,6381
1/9/2024,15967
1/9/2024,11178
1/9/2024,15965
1/9/2024,1596
1/9/2024,4790
1/9/2024,4787
1/9/2024,1589
1/9/2024,7979
1/9/2024,1597
1/9/2024,9576
1/9/2024,12771
1/9/2024,1005
1/9/2024,30382
1/9/2024,19117
1/9/2024,29415
1/9/2024,17994
1/9/2024,2087
1/10/2024,11173
1/10/2024,11173
1/10/2024,7981
1/10/2024,14373
1/10/2024,1597
1/10/2024,4169
1/10/2024,9092
1/10/2024,12724
1/10/2024,8293
1/10/2024,10953
1/10/2024,2009
1/10/2024,5072
1/10/2024,15364
1/10/2024,8923
1/10/2024,988
1/10/2024,25103
1/10/2024,6233
1/12/2024,11176
1/12/2024,9580
1/12/2024,1598
1/12/2024,14370
1/12/2024,6389
1/12/2024,6385
1/12/2024,4787
1/12/2024,6381
1/12/2024,14368
1/12/2024,4787
1/12/2024,7983
1/12/2024,9572
1/12/2024,6384
1/16/2024,6189
1/16/2024,6128
1/16/2024,18377
1/16/2024,4146
1/16/2024,3045
1/16/2024,5013
1/16/2024,1039
1/16/2024,6063
1/17/2024,3195
1/17/2024,7981
1/17/2024,1594
1/17/2024,12778
1/17/2024,7981
1/17/2024,1595
1/17/2024,7982
1/17/2024,6385
1/17/2024,21438
1/17/2024,9340
1/17/2024,3089
1/17/2024,10376
1/17/2024,12149
1/17/2024,3977
1/17/2024,15120
1/17/2024,12291
1/17/2024,3064
1/17/2024,2999
1/18/2024,3196
1/18/2024,1593
1/18/2024,14372
1/18/2024,3192
1/18/2024,3190
1/18/2024,11176
1/18/2024,12766
1/20/2024,5086
1/20/2024,5086
1/20/2024,4137
1/20/2024,4137
1/24/2024,14369
1/24/2024,1597
1/24/2024,4790
1/25/2024,1597
1/25/2024,1596
1/25/2024,6387
1/25/2024,4790
1/25/2024,15972
1/26/2024,2093
1/26/2024,5005
1/26/2024,20346
1/26/2024,6187
1/26/2024,16373
1/26/2024,3030
1/26/2024,16235
1/26/2024,6187
1/26/2024,16373
1/26/2024,16235
1/26/2024,3030
1/27/2024,24475
1/27/2024,3127
1/29/2024,2044
1/29/2024,14354
1/29/2024,4123
1/29/2024,2001
1/29/2024,3962
1/29/2024,1013
1/29/2024,3076
1/30/2024,11173
1/30/2024,1597
1/30/2024,7983
1/30/2024,4788
1/30/2024,12769
1/30/2024,11171
1/31/2024,3191
1/31/2024,14367
1/31/2024,1597
1/31/2024,6378
1/31/2024,3191
1/31/2024,1597
1/31/2024,17550
1/31/2024,1592
1/31/2024,1597
1/31/2024,3191
1/31/2024,14367
1/31/2024,1597
1/31/2024,6378
1/31/2024,1592
1/31/2024,17550
1/31/2024,1597
1/31/2024,3191
