day,grand total
3/31/2023,4195
3/31/2023,7076
3/31/2023,4202
3/31/2023,9122
3/31/2023,8000
3/31/2023,2085
3/31/2023,2019
3/31/2023,13301
4/3/2023,25419
4/3/2023,9173
4/3/2023,16180
4/3/2023,17228
4/6/2023,1589
4/6/2023,1594
4/6/2023,6376
4/6/2023,15936
4/6/2023,1594
4/6/2023,11156
4/6/2023,11156
4/6/2023,1594
4/6/2023,11154
4/6/2023,4779
4/6/2023,6372
4/6/2023,4780
4/6/2023,15933
4/6/2023,4781
4/6/2023,12747
4/6/2023,1594
4/10/2023,5057
4/10/2023,8125
4/10/2023,22278
4/10/2023,8067
4/10/2023,10462
4/10/2023,8316
4/10/2023,6243
4/10/2023,17208
4/10/2023,2010
4/10/2023,11208
4/10/2023,1026
4/14/2023,4782
4/14/2023,1593
4/14/2023,1593
4/14/2023,3187
4/14/2023,4786
4/14/2023,9562
4/15/2023,1592
4/15/2023,14340
4/15/2023,6372
4/15/2023,1594
4/15/2023,3186
4/15/2023,1594
4/15/2023,1593
4/15/2023,3186
4/15/2023,12751
4/15/2023,3185
4/15/2023,11152
4/15/2023,4780
4/15/2023,11156
4/15/2023,14340
4/15/2023,15927
4/15/2023,1594
4/17/2023,23421
4/17/2023,3061
4/17/2023,1046
4/17/2023,3036
4/17/2023,6991
4/17/2023,4011
4/17/2023,3009
4/17/2023,6031
4/17/2023,18153
4/17/2023,1034
4/17/2023,2034
4/17/2023,999
4/17/2023,4023
4/17/2023,16153
4/17/2023,25151
5/2/2023,1595
5/2/2023,7967
5/2/2023,11154
5/2/2023,12750
5/2/2023,1593
5/2/2023,4779
5/2/2023,1594
5/2/2023,14348
5/2/2023,4779
5/2/2023,11157
5/2/2023,11153
5/2/2023,1594
5/2/2023,4779
5/2/2023,1593
5/2/2023,9565
5/2/2023,4779
5/2/2023,3185
5/3/2023,1593
5/3/2023,3187
5/3/2023,3186
5/3/2023,14343
5/3/2023,6376
5/3/2023,3188
5/3/2023,3185
5/3/2023,1594
5/3/2023,3187
5/3/2023,3186
5/3/2023,9562
5/3/2023,4781
5/6/2023,7966
5/6/2023,12744
5/6/2023,7968
5/6/2023,3187
5/6/2023,19120
5/6/2023,6375
5/6/2023,7967
5/6/2023,6374
5/6/2023,3186
5/9/2023,1593
5/9/2023,1593
5/9/2023,3189
5/9/2023,15936
5/9/2023,3187
5/9/2023,9560
5/9/2023,14346
5/9/2023,4780
5/9/2023,3188
5/9/2023,6374
5/9/2023,9562
5/9/2023,1595
5/9/2023,4132
5/9/2023,1055
5/9/2023,1055
5/9/2023,20178
5/9/2023,20269
5/9/2023,5252
5/9/2023,18005
5/9/2023,6976
5/9/2023,12183
5/9/2023,11950
5/12/2023,17530
5/12/2023,9562
5/12/2023,14346
5/12/2023,12753
5/12/2023,9565
5/12/2023,4781
5/12/2023,1594
5/12/2023,14345
5/12/2023,1595
5/13/2023,12753
5/15/2023,4783
5/15/2023,3189
5/15/2023,4780
5/16/2023,20012
5/16/2023,10100
5/16/2023,29564
5/16/2023,2018
5/16/2023,2007
5/16/2023,5023
5/16/2023,1000
5/16/2023,4998
5/16/2023,21310
5/16/2023,3968
5/23/2023,6376
5/23/2023,1593
5/23/2023,4782
5/23/2023,4781
5/23/2023,4784
5/23/2023,3187
5/23/2023,9563
5/23/2023,1593
5/23/2023,4780
5/23/2023,3188
5/23/2023,9562
5/24/2023,5059
5/24/2023,14979
5/24/2023,4991
5/24/2023,3967
5/24/2023,5046
5/24/2023,9012
5/24/2023,6946
6/2/2023,4779
6/2/2023,14341
6/2/2023,11152
6/2/2023,6371
6/2/2023,3186
6/2/2023,11150
6/2/2023,1593
6/2/2023,3188
6/2/2023,4780
6/2/2023,1594
6/2/2023,3186
6/2/2023,3186
6/2/2023,11154
6/2/2023,7970
6/2/2023,4776
6/2/2023,4780
6/2/2023,3185
6/2/2023,5092
6/3/2023,10101
6/3/2023,3151
6/3/2023,9125
6/3/2023,22531
6/7/2023,3187
6/7/2023,1594
6/7/2023,12745
6/7/2023,7964
6/7/2023,11153
6/7/2023,17525
6/7/2023,3186
6/7/2023,1593
6/7/2023,1594
6/7/2023,4779
6/7/2023,9560
6/7/2023,12746
6/7/2023,7964
6/8/2023,8937
6/8/2023,21400
6/8/2023,7323
6/8/2023,31628
6/8/2023,29702
6/8/2023,1010
6/13/2023,1592
6/13/2023,17529
6/13/2023,1594
6/13/2023,1593
6/13/2023,17529
6/13/2023,1593
6/13/2023,1594
6/13/2023,3188
6/13/2023,6370
6/13/2023,11151
6/13/2023,9560
6/13/2023,7965
6/13/2023,4780
6/13/2023,9555
6/13/2023,4781
6/15/2023,1999
6/15/2023,12173
6/15/2023,10115
6/15/2023,6121
6/15/2023,14219
6/15/2023,13120
6/15/2023,18338
6/15/2023,5882
6/15/2023,1017
6/15/2023,23705
6/15/2023,7017
6/15/2023,4081
6/15/2023,12817
6/15/2023,2073
6/15/2023,17323
6/16/2023,6374
6/16/2023,4778
6/16/2023,12753
6/16/2023,1593
6/16/2023,1592
6/16/2023,1592
6/16/2023,14335
6/16/2023,4777
6/16/2023,3186
6/20/2023,6375
6/20/2023,15929
6/20/2023,3187
6/20/2023,3187
6/20/2023,7966
6/20/2023,4781
6/20/2023,1592
6/20/2023,3187
6/20/2023,7968
6/21/2023,3186
6/21/2023,14350
6/21/2023,3187
6/21/2023,4779
6/21/2023,3187
6/21/2023,4781
6/21/2023,3187
6/21/2023,1593
6/21/2023,6373
6/21/2023,11155
6/21/2023,14334
6/21/2023,3186
6/21/2023,1593
6/27/2023,1593
